### wake--->noradrenaline NREM--->GABA REM--->acetylcholin 
time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	homeostatic
61900	1	5.55110642815232	0.8047342662057814	0.1410702899471466	0.03521260294753228	0.004579221483642847	0.0016980748009304471	0.9154448031495789
61920	1	5.535312243551578	0.8041893206863419	0.16564308310921616	0.03851799116959645	0.002457501450628511	0.0018082402639710597	0.9154933422968402
61940	1	5.5492055928196855	0.8039022905946646	0.16213375008659747	0.039754619719135936	0.010112318842301958	0.003132931926796376	0.9155418535800672
61960	1	5.529717300685015	0.8034223062821152	0.15782147681115574	0.038808058821865304	0.02695171616620648	0.006483135499568159	0.9155903370152568
61980	1	5.514040024124689	0.8027391163356469	0.14214960903018697	0.03743580435572765	0.02379264421404551	0.013551259981810915	0.9156387926183931
62000	1	5.528776266066812	0.8024315946028032	0.14635833241047394	0.03666732740079891	0.030005793220831266	0.012774989203427711	0.9156872204054567
62020	1	5.5120055540607495	0.8019986602175161	0.1424554460510905	0.03725850244744678	0.03468330308923788	0.016411596101258346	0.9157356203924154
62040	1	5.49713262439118	0.8008944617952055	0.13944810555193127	0.035527808006067564	0.027160839792565842	0.014736601234679556	0.9157839925952227
62060	1	5.495436279261611	0.8005643679765903	0.13993875831967512	0.03479889561759458	0.0362345340222302	0.01699701481723072	0.9158323370298339
62080	1	5.479416133497074	0.7998128085272448	0.15671768576652953	0.03709743477413328	0.01547163440189938	0.008850107493127342	0.9158806537121849
62100	1	5.481556267274466	0.7993232083664444	0.17307959481229362	0.040754431177574386	0.013930681652542774	0.010566366786509745	0.9159289426582111
62120	1	5.477520327692147	0.7990950785776252	0.1728010275407534	0.04271698009924329	0.006149972657926564	0.004356788729746529	0.9159772038838327
62140	1	5.485612343747469	0.7992719680824854	0.18112802163854583	0.0449222683442243	0.000657791465016111	0.001482247843002494	0.9160254374049619
62160	1	5.480386777550474	0.7992315857343586	0.17531498939870552	0.04508822338611721	0.00800543589094355	0.001362298342292077	0.9160736432375028
62180	1	5.469183517370198	0.798896882795655	0.1626734767077937	0.04189628688846788	0.01770533015450263	0.006127087906585283	0.9161218213973518
62200	1	5.484811941559451	0.7988178367428667	0.13222294323535613	0.03734873354511477	0.013959969449421395	0.007096620408444259	0.9161699719003954
