time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	H
1230	1	5.66840546398275	0.8125753915739246	0.0003404864877068004	8.527786387960421e-05	1.2510730779220038e-12	7.502239455716768e-13	0.5173490535340165
1240	1	5.666672538808271	0.8124556230986788	0.0003399142377902404	8.512578471128543e-05	1.0591809364873662e-12	6.351347261653445e-13	0.5174876069840383
1250	1	5.66495113403288	0.8123365829471951	0.0003393773142818584	8.498267510581668e-05	8.967477456128182e-13	5.377146605271981e-13	0.5176261206598536
1260	1	5.663241172748145	0.8122182671269954	0.00033887517737445625	8.48483978828625e-05	7.59251018021842e-13	4.552506699819623e-13	0.5177645945728793
1270	1	5.661542578562233	0.8121006716614642	0.0003384072959784104	8.472281807783551e-05	6.428625508838188e-13	3.8544652477901045e-13	0.5179030287345315
1280	1	5.6598552755962706	0.81198379258988	0.0003379731475795201	8.460580290575589e-05	5.44341840463448e-13	3.2635863412703747e-13	0.5180414231562201
1290	1	5.658179188480936	0.8118676259674404	0.00033757221809920635	8.449722172570929e-05	4.609458595693634e-13	2.763418301935615e-13	0.5181797778493542
1300	1	5.656514242352951	0.8117521678652752	0.00033720400175703795	8.439694600589316e-05	3.9035268581319257e-13	2.340035254895458e-13	0.518318092825338
1310	1	5.654860362851629	0.8116374143704775	0.0003368680009355243	8.430484928924483e-05	3.305968543265662e-13	1.981649264148756e-13	0.5184563680955737
1320	1	5.653217476115503	0.8115233615861109	0.0003365637260471607	8.422080715963669e-05	2.8001463501749304e-13	1.6782820803243697e-13	0.5185946036714596
1330	1	5.651585508778841	0.8114100056312367	0.00033629069540366704	8.414469720863325e-05	2.3719771076795264e-13	1.421487306154774e-13	0.5187327995643901
1340	1	5.64996438796832	0.8112973426409189	0.00033604843508740104	8.407639900279894e-05	2.009539668746909e-13	1.204115223828349e-13	0.5188709557857559
1350	1	5.6483540412997	0.8111853687662469	0.00033583647882489575	8.401579405154616e-05	1.7027430002742853e-13	1.0201137290259251e-13	0.5190090723469477
1360	1	5.646754396874459	0.8110740801743388	0.0003356543678624966	8.3962765775519e-05	1.4430452271548842e-13	8.643598264659697e-14	0.5191471492593481
1370	1	5.6451653832764634	0.8109634730483588	0.0003355016508440557	8.391719947549714e-05	1.2232158082145224e-13	7.325169944211252e-14	0.5192851865343405
1380	1	5.643586929568766	0.8108535435875215	0.00033537788369065297	8.387898230181769e-05	1.0371342224881786e-13	6.209144465566738e-14	0.5194231841833042
1390	1	5.642018965290295	0.8107442880071086	0.000335282629482309	8.384800322430232e-05	8.796195608321609e-14	5.2644492934529634e-14	0.5195611422176124
1400	1	5.6404614204525885	0.810635702538464	0.00033521545834165546	8.382415300268164e-05	7.462862783380121e-14	4.464782094692423e-14	0.5196990606486394
1410	1	5.6389142255366655	0.8105277834290018	0.00033517594731953326	8.380732415751088e-05	6.334220913870354e-14	3.7878784249567743e-14	0.5198369394877529
1420	1	5.63737731148975	0.8104205269422152	0.00033516368028248304	8.379741094156619e-05	5.3788461973839526e-14	3.214891839017686e-14	0.5199747787463188
1430	1	5.635850609722165	0.8103139293576763	0.00033517824780209964	8.379430931171413e-05	4.5701389594556556e-14	2.7298691654140748e-14	0.5201125784356996
1440	1	5.634334052104158	0.8102079869710345	0.0003352192470462151	8.379791690124838e-05	3.8855830617625757e-14	2.319306336051509e-14	0.5202503385672538
1450	1	5.632827570962786	0.8101026960940153	0.00033528628167188375	8.380813299268138e-05	3.30611900469929e-14	1.9717724040768887e-14	0.5203880591523379
1460	1	5.631331099078831	0.8099980530544272	0.0003353789617201391	8.38248584909895e-05	2.815613270164239e-14	1.6775912818810558e-14	0.5205257402023031
1470	1	5.629844569683684	0.80989405419615	0.0003354969035124881	8.384799589729857e-05	2.4004091299262668e-14	1.4285723381344902e-14	0.5206633817284984
1480	1	5.628367916456277	0.8097906958791339	0.00033563972954912336	8.387744928300495e-05	2.0489464131159013e-14	1.2177823531014663e-14	0.5208009837422723
1490	1	5.626901073520137	0.8096879744793936	0.00033580706840881136	8.391312426432639e-05	1.751439646355521e-14	1.0393524829810481e-14	0.5209385462549658
